id,ten_san_pham,danh_muc,gia_ban,gia_goc,so_luong_da_ban,diem_danh_gia,so_luot_nhan_xet,dia_diem_kho,ton_kho,thuong_hieu,link_san_pham,so_luong_ban_trong_ngay,doanh_thu_ngay
3102070006,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Nike Air Max Nuaxis - WHITE,Giày chạy bộ nam,2649000,2649000,8,5.0,3,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102070006.html,0,0.0
2994846382,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Structure 25 Road Running Shoes - Black,Giày chạy bộ nam,3829000,3829000,76,5.0,18,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994846382.html,0,0.0
3307909560,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Metro Tek Men's Shoes - LIGHT ARMY,Giày chạy bộ nam,2349000,2349000,0,,0,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307909560.html,0,0.0
3307906547,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Air Max Excee Men's Shoes - BLACK,Giày chạy bộ nam,2929000,2929000,0,,0,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307906547.html,0,0.0
3102041024,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày thể thao nam Nike Zoom Vomero 5 - BLACK,Giày chạy bộ nam,4699000,4699000,65,4.5789473684,19,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102041024.html,0,0.0
2862931548,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Downshifter 13 Road Running Shoes - Sail,Giày chạy bộ nam,2069000,2069000,19,5.0,8,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2862931548.html,0,0.0
2748192688,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Downshifter 13 Road Running Shoes - White,Giày chạy bộ nam,2069000,2069000,94,4.8095238095,21,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748192688.html,0,0.0
3132983308,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Pegasus Plus Men's Road Running Shoes,Giày chạy bộ nam,5269000,5269000,47,5.0,14,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132983308.html,0,0.0
3307947401,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Metro Tek Men's Shoes - SANDDRFIT,Giày chạy bộ nam,2349000,2349000,0,,0,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307947401.html,0,0.0
3307923465,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Air Zoom Upturn SC Men's Shoes - GREY,Giày chạy bộ nam,2779000,2779000,0,,0,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307923465.html,0,0.0
2994951260,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Motiva Walking Shoes - White,Giày chạy bộ nam,3229000,3229000,24,5.0,8,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994951260.html,0,0.0
3307880692,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Winflo 11 Men's Road Running Shoes - WHITE,Giày chạy bộ nam,2929000,2929000,0,5.0,1,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307880692.html,0,0.0
2995043169,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Rival Fly 4 Road Running Shoes - White,Giày chạy bộ nam,2919000,2919000,49,4.7777777778,18,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2995043169.html,0,0.0
3307932422,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Air Max Invigor Men's Shoes - WHITE,Giày chạy bộ nam,2779000,2779000,0,5.0,1,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307932422.html,0,0.0
