Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]","GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]",Trade (% of GDP) [NE.TRD.GNFS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Net ODA received (% of GNI) [DT.ODA.ODAT.GN.ZS],Urban population growth (annual %) [SP.URB.GROW],Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF],"Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.FE.ZS]","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.MA.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS]
2012,YR2012,Viet Nam,VNM,5.5045447041189,16.199507640393,35.8602323946766,39.1188401087315,7979.86828926858,123.224116745985,63.4739249038633,59.7501918421214,4.27832287681174,2.17219868944015,2.53840240642015,43.5708247064191,34.4331120376958,5.00178242,1.123,51.3008025574158,17.892,6.008,71.983,81.067,1.027,9.09470339557192,47.3667761338807,21.1899640109416,31.4432598551777
2013,YR2013,Thailand,THA,2.68749556320556,11.3222153379773,36.8985884648101,51.7791961972126,18242.4256715363,132.462274174269,67.1711410731483,65.2911331011204,3.79126450872817,0.00731811110678138,1.59290449299765,39.2761651236078,44.6989868660573,3.45313334,1.064,50.7433898562555,11.367,6.713,61.78,78.584,0.249,2.18488618530687,39.3005358547268,21.2596461834777,39.4398179617955
2013,YR2013,Viet Nam,VNM,5.55351081026072,15.2156122465127,35.575150437736,40.542010129242,8324.19871250047,130.846354866743,66.8004459919109,64.0459088748316,4.16454517277325,1.97972552084625,2.49269980122556,44.0639521125592,34.6726704451298,4.41233158,1.138,51.2677670845862,17.888,6.057,72.906,81.962,1.316,6.59267475899192,46.813420117302,21.1832292145355,32.0033506681625
2014,YR2014,Thailand,THA,0.984468863619426,10.0889216151042,36.7630403655124,53.1480380193834,18324.6144674875,130.905495444398,68.3941351612178,62.5113602831802,1.22145318013998,0.091751001899181,1.57575157421195,39.2714674391748,44.7102115915363,3.68448091,1.064,50.7857462918866,10.95,6.754,61.447,78.585,0.576,1.8951418189878,33.4930302024769,23.5536913558203,42.9532784417028
2014,YR2014,Viet Nam,VNM,6.42224312118567,14.8803489262722,35.2985684880333,40.9236092881482,8751.88280634375,135.410521454361,69.5985759502054,65.8119455041556,3.94086189051961,1.87689874659763,2.52048355679202,44.4428488915694,34.6991265943562,4.69078779,1.122,51.234001657752,18.671,6.114,73.059,81.945,1.256,4.08455446637617,46.3357632626857,21.4461042822337,32.2181324550806
2015,YR2015,Thailand,THA,3.13404724911635,8.87272364786793,36.1791773262667,54.9480990258654,18811.9975100064,124.839662152526,67.6366902705865,57.2029718819397,2.22468548959784,0.0154141717261514,1.82960967707757,39.2667697547417,44.7180410655914,3.8522861,1.064,50.8304875214406,10.594,6.818,61.068,77.922,0.597,-0.900424963291569,32.3345065204086,23.7199822557498,43.94552128009
2015,YR2015,Viet Nam,VNM,6.98715430598611,14.4747261789547,34.2665466382117,42.1930087721287,9248.02396069622,144.914228195237,72.9228518369495,71.9913763582877,4.93190773329022,1.39461008493105,2.58618883560289,44.8711640388917,38.7634300520449,4.71140909,1.128,51.201932653643,18.498,6.153,72.863,82.417,1.848,0.631200905175754,44.0184515218041,22.7436707500954,33.2378777281005
2016,YR2016,Thailand,THA,3.43515771692182,8.47807696285562,35.586765405076,55.9351576320684,19370.6087810117,120.57522728913,67.0708839693011,53.5043433198287,0.843364340718618,0.0578192906755546,2.40848086634849,39.1806455401358,44.7102115915363,3.93900609,1.064,50.8769402968319,10.111,6.918,60.17,76.921,0.688,0.188149704448143,31.2290600430982,23.7258928161447,45.0450446122349
2016,YR2016,Viet Nam,VNM,6.69000892660424,13.8182553730866,34.1152288612372,42.8544900073075,9743.1882231455,145.409507973118,74.1072862556183,71.3022217174998,4.90089302916746,1.1961451189338,2.69033256754995,45.8783548775157,38.8407942894887,4.86994743,1.122,51.1540219801431,17.313,6.195,72.53,81.789,1.848,2.66824816969082,41.8649072066788,24.7622070388361,33.37288761068
2017,YR2017,Thailand,THA,4.1776810321001,8.40641258665047,35.018759526322,56.5748278870276,20094.6778762603,120.891427433638,66.6728324663767,54.2185949672612,1.81550260101987,0.0574019888684555,3.2056963868025,39.1101802736401,44.7199984341052,3.85276842,1.064,50.9251950110811,9.765,7.029,59.351,76.179,0.83,0.665631893135106,31.5296819916623,22.9001965786271,45.5701188910502
