product_id,product_name,category,warehouse_location,stock_status,selling_price,original_price,discount_rate,rating_score,review_count,cumulative_units_sold,latest_snapshot_date,avg_daily_units_sold,avg_daily_revenue,total_period_revenue,avg_discount_rate,avg_rating_score,avg_review_count,stock_availability_rate,observation_days,sales_volatility,segment_id
3132916967,Áo ngực thể thao Nike Swoosh Medium Support Women's Padded Sports Bra,Áo lót thể thao nữ,Tây Ninh,Còn hàng,1019000,1019000,0.0,5.0,9,40,2026-03-20,0.10344827586206896,105413.79310344828,3057000.0,0.0,5.0,9.0,1.0,29,0.40925259281898757,0
3132918941,Quần dài Nike Dri-FIT One Women's High-Waisted 7/8 French Terry Joggers,Quần dài thể thao nữ,Tây Ninh,Còn hàng,1579000,1579000,0.0,5.0,0,0,2026-03-20,0.0,0.0,0.0,0.0015970482143348845,,0.0,1.0,23,0.0,0
3132921404,Giày thể thao Nike Winflo 11 Men's Road Running Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,2929000,2929000,0.0,5.0,4,28,2026-03-20,0.2413793103448276,696517.2413793104,20199000.0,0.0017306130137389483,5.0,4.0,1.0,29,0.5109635445336237,0
3132922552,Giày thể thao Nike Vomero 18 Women's Road Running Shoes,Giày chạy bộ nữ,Tây Ninh,Còn hàng,4259000,4259000,0.0,4.2,5,27,2026-03-20,0.06896551724137931,293724.1379310345,8518000.0,0.0,4.2,5.0,1.0,29,0.25788071477756375,0
3132928543,Giày thể thao Nike Killshot 2 Women's Shoes,Giày thể thao,Tây Ninh,Còn hàng,2779000,2779000,0.0,5.0,1,5,2026-03-20,0.0,0.0,0.0,0.0,5.0,1.0,1.0,29,0.0,0
3132951365,Giày thể thao Nike Revolution 8 Men's Road Running Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,1909000,1909000,0.0,4.8,20,48,2026-03-20,0.06896551724137931,131655.1724137931,3818000.0,0.0,4.84573502722069,19.275862068965516,1.0,29,0.25788071477756375,0
3132951506,Giày thể thao Nike Phantom Run 2 Women's Road Running Shoes,Giày chạy bộ nữ,Thành phố Hồ Chí Minh,Còn hàng,4109000,4109000,0.0,5.0,4,14,2026-03-20,0.06896551724137931,278758.6206896552,8084000.0,0.0010406089240607246,5.0,4.0,1.0,29,0.25788071477756375,0
3132956392,Giày thể thao Nike Air Max Excee Men's Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,2929000,2929000,0.0,4.9375,15,62,2026-03-20,0.41379310344827586,1210620.6896551724,35108000.0,0.0,4.9349137930827585,15.0,1.0,29,0.6277648205743445,0
3132963346,Giày thể thao Nike Field General Men's Shoes,Giày thể thao,Tây Ninh,Còn hàng,2929000,2929000,0.0,5.0,3,9,2026-03-20,0.0,0.0,0.0,0.0010360132327144724,5.0,2.9655172413793105,1.0,29,0.0,0
3132963407,Giày thể thao Nike Uplift SC Women's Shoes,Giày chạy bộ nữ,Thành phố Hồ Chí Minh,Còn hàng,1909000,1909000,0.0,5.0,8,45,2026-03-20,0.10344827586206896,197482.75862068965,5727000.0,0.0024566030237893103,5.0,7.655172413793103,1.0,29,0.3099340466946034,0
3132964358,Giày thể thao Nike Pegasus Plus Men's Road Running Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,5279000,5279000,0.0,4.9677419355,31,103,2026-03-20,0.3448275862068966,1818620.6896551724,52740000.0,0.0017244645341659536,4.966740823168966,30.06896551724138,1.0,29,0.6695340634119862,0
3132968438,Giày thể thao Nike P-6000 SE Women's Shoes,Giày chạy bộ nữ,Thành phố Hồ Chí Minh,Còn hàng,3239000,3239000,0.0,5.0,9,21,2026-03-20,0.0,0.0,0.0,0.0,5.0,8.724137931034482,1.0,29,0.0,0
3132976303,Giày thể thao Nike Air Max Excee Men's Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,2929000,2929000,0.0,5.0,13,54,2026-03-20,0.1724137931034483,505000.0,14645000.0,0.0017306130137389483,5.0,12.586206896551724,1.0,29,0.4682006222337797,0
3132976407,Giày thể thao Nike Revolution 8 Women's Road Running Shoes,Giày chạy bộ nữ,Tây Ninh,Còn hàng,1909000,1909000,0.0,5.0,1,11,2026-03-20,0.0,0.0,0.0,0.0017340727226748073,5.0,1.0,1.0,29,0.0,0
3132983308,Giày thể thao Nike Pegasus Plus Men's Road Running Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,5279000,5279000,0.0,5.0,14,53,2026-03-20,0.20689655172413793,1092206.896551724,31674000.0,0.0017244645341659536,5.0,14.0,1.0,29,0.4122508203948855,0
3132983440,Giày thể thao Nike Pegasus Trail 5 Women's Trail Running Shoes,Giày chạy bộ nữ,Tây Ninh,Còn hàng,4109000,4109000,0.0,5.0,5,17,2026-03-20,0.06896551724137931,283379.3103448276,8218000.0,0.0010406089240607246,5.0,5.0,1.0,29,0.25788071477756375,0
3132986368,Giày thể thao Nike Interact Run Women's Road Running Shoes,Giày chạy bộ nữ,Tây Ninh,Còn hàng,2349000,2349000,0.0,5.0,1,6,2026-03-20,0.0,0.0,0.0,0.0,5.0,1.0,1.0,29,0.0,0
3132988374,Giày thể thao Nike Cortez Textile Shoes,Giày chạy bộ nữ,Tây Ninh,Còn hàng,2649000,2649000,0.0,4.2,5,15,2026-03-20,0.13793103448275862,365379.3103448276,10596000.0,0.0017312974316918551,4.917241379310345,4.103448275862069,1.0,29,0.3509312031717982,0
