review_id,product_id,date_key,review_date,rating,review_comment,sku
REV_07103,2862841982,20260228,2026-02-28,5,"oke hàng chính hãng nike, đặt đúng size sẽ hơi ôm, ai thích mang rộng thì đặt lên 1 sỉze",
REV_07104,2862902751,20260307,2026-03-07,5,,
REV_07105,2748396080,20260314,2026-03-14,5,"Bền và lâu dài,",
REV_07106,2748396080,20260307,2026-03-07,5,,
REV_07107,2748145810,20260314,2026-03-14,5,Tất hơi dài vì shop ko nói rõ lên đặt,
REV_07108,2863061001,20260314,2026-03-14,5,"Hoàn hảo cho cầu thủ bóng đá,",
REV_07109,2863061001,20260307,2026-03-07,5,,
REV_07110,2862903674,20260307,2026-03-07,5,"Tất mỏng, thấp cổ3 đôi trong một hộp, , ko bí chân, phù hợp mùa hè và dùng hàng ngày.",
REV_07111,2863024197,20260307,2026-03-07,5,,
REV_07112,3004089999,20260314,2026-03-14,5,"Chất liệu bông mềm mại, Thiết kế nhiều màu thời trang, Phù hợp hoàn hảo với giày thể thao,",
REV_07113,2994867326,20260307,2026-03-07,5,,
REV_07114,2994988273,20260307,2026-03-07,5,,
REV_07115,2748411053,20260228,2026-02-28,1,"Giao giày bẩn cho khách hàng xong còn đổ lỗi cho khách hàng làm cấn móp và làm dơ, trong khi đã quay video rõ ràng từ lúc nhận hàng mở ra và lúc đưa hàng cho shipper để trả hàng về đều đóng gói hộp giày, bịch nilon, 2 miếng chống sốc đều đầy đủ. Cái chỗ cấn móp là do bên đơn vị vận chuyển rồi chứ lúc trả tôi đã đóng gói cẩn thận shipper còn quay cả video lại lúc tôi đóng gói, chả biết đi hỏi shipper hay gì à?",
REV_07116,2994670495,20260307,2026-03-07,5,"tốt thoải mái hợp nhiều gu thời trangKiểu dáng theo phong cách năm 2000, Thiết kế cảm hứng cổ điển, Lấy cảm hứng từ Vomero 5,",
REV_07117,2994776410,20260228,2026-02-28,5,,
REV_07118,2994776410,20260314,2026-03-14,1,,
REV_07119,2994881326,20260228,2026-02-28,5,,
REV_07120,2995007236,20260314,2026-03-14,5,"Phần gót dày vững chắc, Thoải mái cho mọi bước đi,",
REV_07121,2994664532,20260228,2026-02-28,5,,
REV_07122,2994847361,20260307,2026-03-07,5,,
REV_07123,3215189305,20260307,2026-03-07,5,"size nhỏ hơn thực tế, nên đặt up lên 1 hoặc 2 size",
REV_07124,3101858656,20260307,2026-03-07,3,,
REV_07125,3312004759,20260314,2026-03-14,5,"Chất lượng sản phẩm này rất tốt, đúng mô tả, shop đóng gói cẩn thận và giao hàng nhanh",
REV_07126,3215385335,20260314,2026-03-14,5,,
REV_07127,2862899726,20260228,2026-02-28,5,"Logo Swoosh tăng phong cách, Thiết kế đường khâu truyền thống, Thiết kế đường khâu truyền thống, Thoải mái cho trẻ nhỏ, Hoàn hảo cho việc mặc hàng ngày,",
REV_07128,2985715450,20260307,2026-03-07,5,"chân bé &lt; 11cm 
giày khá ôm chân nên vẫn vừa
phần dây giày co giãn",
REV_07129,2985785217,20260228,2026-02-28,5,,
REV_07130,3133144368,20260314,2026-03-14,5,,
REV_07131,3133248084,20260307,2026-03-07,5,,
REV_07132,3101987100,20260228,2026-02-28,5,,
REV_07133,3133042784,20260307,2026-03-07,5,good,
REV_07134,3215470385,20260228,2026-02-28,5,,
REV_07135,3101946476,20260228,2026-02-28,5,,
REV_07136,3101993164,20260228,2026-02-28,5,,
REV_07137,3102026071,20260307,2026-03-07,1,giao sai hàng không cho trả hàng. không uy tín,
REV_07138,3215278901,20260307,2026-03-07,5,,
REV_07139,2995033181,20260307,2026-03-07,5,OK OK OK,
REV_07140,3102043021,20260228,2026-02-28,5,,
REV_07141,3132856943,20260307,2026-03-07,5,"Đế ngoài cao su bền bỉ, Chất liệu Flyknit ôm chân, Phù hợp cho chạy đường dài hàng ngày, Giày chạy bộ thoải mái suốt ngày, Hỗ trợ giữa bàn chân linh hoạt, Hệ thống đệm ZoomX phản hồi tốt,",
REV_07142,3101947456,20260228,2026-02-28,5,"Thiết kế thoáng khí và ôm chân, Mẫu đế thân thiện với môi trường, chân 25cm đi size 40 mua giày này size 7.5u  okie, giày nhẹ và trông gọn chân nhưng không êm = đôi buộc dây đã mua trc đây",
REV_07143,3102036040,20260307,2026-03-07,5,,
REV_07144,2994872328,20260307,2026-03-07,5,"Giày chính hãng, đẹp quá trời luôn. Shop bọc hàng rất cẩn thận. Size chuẩn, đi vừa in. Đôi Nike này mẫu mã xinh thật.",
REV_07145,3215448049,20260228,2026-02-28,5,,
REV_07146,3132922552,20260228,2026-02-28,5,"Mình cũng chưa chạy thử nên ko đánh giá gì, cứ chụp ảnh trước cái đã.
Cảm quan giày mới do chính sách đổi trả khắt khe của Nike.",
REV_07147,3215343839,20260307,2026-03-07,5,"mới sử dụng, nhưng tin tưởng Nike rất êm, ôm sát chân. Nên cộng thêm nửa size cho thoải mái vì phần gót chân cứng, ôm cổ chân năng động, đơn giản Giao hàng nhanh, Đóng gói rất kỹ.",
REV_07148,3132986368,20260307,2026-03-07,5,,
